Sr. No,"Regulations/
Standards",Observation,Recommendation,Priority,Asset Category,Location,Type of Hazard,Element,Image,Priority_Score,Hazard_Fire,Hazard_Shock,Hazard_Security,Hazard_Material,Hazard_Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hazard_Weight_Sum,Risk_Score
104,CEA 2023 MSES Reg 14,MCB Box 2.5 Sq.mm cable with C32A for welding machine.,"Choose an MCB or MCCB with a suitable rated current and breaking capacity to protect the cable and equipment. For welding machines, consider motor rated MCBs or MCCBs that can handle surge currents without nuisance tripping. Replace the MCB with one suitable for 2.5 sq.mm cable capacity (usually 20A or less), if welding load permits (which is unlikely).",HIGH,Cable,Cooling Tower panel,FIRE,Design & Engineering,,3,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6
105,CEA 2023 MSES Reg 108.VI,Chiller motor supply gland is not proper.,Use a correctly sized cable gland matching the cable diameter and motor terminal entry. Ensure it is tightened properly without over compressing the cable. Verify the gland includes proper provisions for armour grounding or earthing continuity (if using armored cable).,HIGH,Gland,Cooling Tower panel,SHOCK,Maintenance Complication,/content/word_images/105_obs.jpeg,3,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6
106,IS 3043,Battery charger plug earth not connected properly.,Take the battery charger out of service until the earthing connection is corrected. Reconnect the earth terminal of the plug securely and correctly as per wiring standards.,MEDIUM,Battery Charger,Fork lift Maintenance,SHOCK,Maintenance Complication,/content/word_images/106_obs.jpeg,2,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4
107,Good Engineering Practice,48 V / 80 A fork lift charger cable without plug.,"Use a heavy duty industrial plug (at least 80A rated, 2P+E or 3P+E depending on configuration). Plug and socket should be: Appropriate for DC application (if DC charger), Rated for 48V / 80A continuous current, With IP44/IP67 protection depending on environmental conditions.",LOW,Battery Charger,Fork lift Maintenance,SHOCK,Maintenance Complication,/content/word_images/107_obs.jpeg,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
108,Good Engineering Practice,Battery observed with sulphation.,"Include battery inspection in preventive maintenance schedules. Monitor for: Swelling, Acid leaks, Sulphation, Terminal corrosion.",LOW,Mechanical Heavy Equipment,Fork lift Maintenance,FIRE,Maintenance Complication,/content/word_images/108_obs.jpeg,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
109,IS 2189,No smoke detector and water sprinkler.,Provide photoelectric (optical) smoke detectors or multi sensor detectors across the warehouse ceiling. Design and install a wet pipe sprinkler system suitable for general storage areas. Smoke detectors should be part of an addressable or conventional fire alarm system.,MEDIUM,Detector,D-store warehouse,FIRE,Design & Engineering,/content/word_images/109_obs.jpeg,2,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4
110,CEA 2023 MSES Reg 14,Battery charger kept on wooden frame.,"Relocate the battery charger from the wooden frame to a non combustible, heat resistant surface with proper ventilation and grounding.",HIGH,Battery Charger,D-store warehouse,FIRE,Maintenance Complication,/content/word_images/110_obs.jpeg,3,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6
111,CEA 2023 MSES Reg 14,DB panel near entrance incomer is C32 A and outgoing for light is C63 A.,The incomer breaker rating should be equal to or higher than the sum of outgoing breakers. Perform a load assessment of the lighting circuits fed from this DB. Breaker ratings should follow selective coordination principles to isolate only the faulty circuit without affecting the entire DB.,HIGH,Distribution Board,D-store warehouse,SHOCK,Maintenance Complication,/content/word_images/111_obs.jpeg,3,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6
112,CEA 2023 MSES Reg 43,D store battery charger area no RCCB provided in the incomer and outgoing.,Provide appropriately rated 30 mA RCCBs on both the incomer and individual outgoing circuits feeding battery chargers. RCCBs should match the load current ratings and sensitivity requirements.,HIGH,Socket,D-store warehouse,SHOCK,Design & Engineering,/content/word_images/112_obs.jpeg,3,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6
113,IS 3043,Battery charger stands to be earthed.,Connect the battery charger stand (especially if metallic) to the main equipment earthing system using a low resistance conductor.,MEDIUM,Battery Charger,D-store warehouse,SHOCK,Design & Engineering,/content/word_images/113_obs.jpeg,2,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4
114,Good Engineering Practice,Emergency door obstructed near EA UV.,"Remove all materials, equipment, or obstacles blocking or near the emergency door. Maintain an unobstructed escape route from the emergency door to a safe assembly point.",LOW,Door,D-store warehouse,FIRE,Storage Practice,/content/word_images/114_obs.jpeg,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
115,Good Engineering Practice,SCM Office AC outdoor unit near combustible material(tyre Storage).,Remove and relocate all combustible materials to a safe distance from the AC outdoor unit. Maintain minimum clearance as per manufacturer recommendations (typically at least 1 meter clearance).,LOW,AC,Tyre Yard,FIRE,Storage Practice,,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
116,CEA 2023 MSES Reg 14,AC unit power cable and chiller condenser line coupled together.,"Do not route power cables and condenser lines together. Relocate one of the systems to ensure separate paths, use proper conduits, and maintain moisture and thermal protection.",HIGH,AC,Tyre Yard,SHOCK,Maintenance Complication,,3,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6
117,CEA 2023 MSES Reg 14,Avoid storage of tyre near to electrical panel.,"Remove all stored tyres from the vicinity of electrical panels. Maintain a clear, marked, and unobstructed area of at least 1 meter around all panels. This is essential for fire prevention, safe access, and compliance with electrical safety standards.",HIGH,Tyre,Tyre Yard,FIRE,Storage Practice,/content/word_images/117_obs.jpeg,3,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6
118,Good Engineering Practice,"AD blue pump gland leak, water spillage all around.","Inspect and immediately repair or replace the leaking gland on the AdBlue pump. Verify the integrity of seals, gaskets, and fittings.",LOW,Pump,Tyre Yard,SHOCK,Maintenance Complication,,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
119,CEA 2023 MSES Reg 14,UV tyre yard main DB panel opening observed.,"Install suitable IP rated cable glands or blanking plugs (for unused entries) made of non corrosive material (e.g., polyamide, brass) to seal all open entry points.",HIGH,Distribution Board,Tyre Yard,SHOCK,Maintenance Complication,,3,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6
120,IEC 60079-1,Flammable liquid inside Scrapyard (MS Drum 20 liters),"Immediately remove the flammable liquid drum from the scrapyard and store it in a compliant, ventilated, fire rated storage area with proper labelling, containment, and fire protection. Ensure no flammable substances are stored near electrical or operational equipment.",MEDIUM,Drum,Scrapyard,FIRE,Storage Practice,/content/word_images/120_obs.jpeg,2,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4
121,CEA 2023 MSES Reg 43,Socket panel not provided with RCCB.,Install an RCCB of appropriate rating at the socket panel to ensure protection against electric shock and earth leakage currents.,HIGH,Socket,Fabrication Yard,SHOCK,Design & Engineering,,3,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6
122,CEA 2023 MSES 51,Multiple connections (tapping) have been made from a single plug point.,Disconnect all unauthorized or unsafe tapping from the plug or socket outlet. Provide separate socket outlets for each equipment or load.,HIGH,Socket,ALFA Enterprises,FIRE,Design & Engineering,/content/word_images/122_obs.jpeg,3,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6
123,CEA 2023 MSES Reg 43,"No RCCB, for industrial socket.",Install RCCB protection (30 mA sensitivity) for all industrial sockets to prevent electrical shock and fire hazards. Select the appropriate RCCB type and integrate into the socket or panel.,HIGH,Socket,M&M Enterprises,SHOCK,Design & Engineering,/content/word_images/123_obs.jpeg,3,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6
124,CEA 2023 MSES Reg 14,Cutting machine cable were observed with joints.,"Replace jointed cables on the cutting machine with a continuous, heavy duty cable of appropriate rating. Joints in power supply cables for movable equipment are unsafe, non compliant, and must be eliminated to prevent electrical shock, fire, and mechanical failure.",HIGH,Joint,M&M Enterprises,SHOCK,Maintenance Complication,,3,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6
125,CEA 2023 MSES Reg 14,Incomer 415 V panel bottom cover open condition.,"Immediately close and secure the open bottom cover of the 415 V incomer panel. This is critical to eliminate shock risk, prevent ingress of foreign material, and maintain integrity.",HIGH,Panel,Aman Enterprises,SHOCK,Maintenance Complication,/content/word_images/125_obs.jpeg,3,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6
126,CEA 2023 MSES Reg 14,Battery charger kept on paint tin.,"Immediately remove the battery charger from the paint tin and place it on a stable, fire resistant, non conductive surface in a well ventilated area designated for battery charging.",HIGH,Battery Charger,"Export 
(Spare Parts)",FIRE,Maintenance Complication,/content/word_images/126_obs.jpeg,3,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6
127,CEA 2023 MSES Reg 14,Cutting machine has no plug.,Provide a suitable industrial plug and socket arrangement for the cutting machine to eliminate unsafe direct wiring.,HIGH,Tools,Export (Spare Parts),SHOCK,Maintenance Complication,/content/word_images/127_obs.jpeg,3,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6
128,IS 2189,No detector & no sprinklers.,"Install a compliant fire detection (smoke/heat detectors) and sprinkler system in the Export (Spare Parts) storage area to ensure early fire detection, effective suppression, and protection of assets and personnel.",MEDIUM,Detector,Export (Spare Parts),FIRE,Design & Engineering,,2,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4
129,CEA 2023 MSES Reg 14,Distribution Board cable gland integrity is compromised.,"Inspect and replace all compromised DB cable glands with appropriately rated, properly installed glands to prevent cable damage, ingress, and fire/electrical hazards.",HIGH,Distribution Board,Vehicle Track Line,FIRE/SHOCK,Maintenance Complication,/content/word_images/129_obs.jpeg,3,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,12
130,IS 1255-1983,Improper cable routing & cable tapping.,Reroute all improperly laid cables using appropriate supports/conduits and eliminate unauthorized cable tapping by installing proper distribution points.,MEDIUM,Cable,Vehicle Track Line,FIRE,Maintenance Complication,,2,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4
131,Good Engineering Practice,MCC panel cable chamber carbon deposits were found.,"Immediately isolate and inspect the MCC cable chamber for damage causing carbon deposits. Clean the deposits, repair or replace faulty components, and perform thorough testing before re energizing.",LOW,Panel,Raw Water Pump House,FIRE,Maintenance Complication,/content/word_images/131_obs.jpeg,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
132,IS 1255 – 1983,"No proper cable routing, no maintenance.","Reroute all cables using appropriate cable trays, conduits, or cable ladders. Avoid routing cables near heat sources, sharp edges, or walkways. Maintain proper segregation of power and control cables. Cleaning panel interiors to remove dust and debris. Tightening all electrical connections to manufacturer torque specifications. Inspecting components for signs of wear, corrosion, or overheating. Maintain records of all maintenance activities.",MEDIUM,Cable,Raw Water Pump House,FIRE,Maintenance Complication,/content/word_images/132_obs.jpeg,2,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4
133,Good Engineering Practice,HP 10 RPM 2800 motor (raw water pump) very hot 90 100 deg Celsius.,"Shut down the motor to prevent further damage. Allow the motor to cool down before inspection. Immediately investigate and address the causes of motor overheating (load, supply quality, cooling, mechanical issues).",LOW,Motor,Raw Water Pump House,FIRE,Maintenance Complication,/content/word_images/133_obs.jpeg,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
134,CEA 2023 MSES Reg 43,LAN Room socket open neutral.,Restore the neutral conductor connection in the LAN room socket immediately to ensure safe and reliable operation of electrical and communication equipment.,HIGH,Socket,ETA Machine Office,SHOCK,Design & Engineering,,3,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6
135,Good Engineering Practice,Chemicals without identification inside the store near TCF office.,All chemicals must be clearly identified with labels and stored according to their hazard classifications with proper documentation and safety measures in place.,LOW,Chemical,TCF Office,FIRE,Storage Practice,/content/word_images/135_obs.jpeg,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
